Names,Address,Prefecture
東金アリーナ,〒283-0063 千葉県東金市堀上１３６１－１,chiba
ゼットエーオリプリスタジアム,〒290-0047 千葉県市原市岩崎５３６,chiba
千葉県立柏の葉公園総合競技場,〒277-0882 千葉県柏市柏の葉４丁目１,chiba
野田市総合公園陸上競技場,〒278-0043 千葉県野田市清水９５８,chiba
印西市松山下公園陸上競技場,〒270-1367 千葉県印西市浦部２７５,chiba
中台運動公園陸上競技場,〒286-0015 千葉県成田市中台５－２,chiba
千葉県総合スポーツセンター陸上競技場,〒263-0011 千葉県千葉市稲毛区天台町３２３,chiba
船橋市運動公園陸上競技場,〒273-0866 千葉県船橋市夏見台６丁目４－１,chiba
白井市陸上競技場,〒270-1416 千葉県白井市神々廻1728-1,chiba
千葉県青葉の森スポーツプラザ陸上競技場,〒260-0852 千葉県千葉市中央区青葉町６５４,chiba
松戸運動公園陸上競技場,〒271-0064 千葉県松戸市上本郷４４３４,chiba
岩名運動公園陸上競技場,〒285-0004 千葉県佐倉市岩名７５３,chiba
鴨川市陸上競技場,〒296-0014 千葉県鴨川市太尾８６６－１,chiba
千葉県総合スポーツセンター第2陸上競技場,〒263-0011 千葉県千葉市稲毛区天台町３２３,chiba
成東総合運動公園陸上競技場,〒289-1316 千葉県山武市五木田３２４１,chiba
